,Date,Bexley,Hounslow
1,2000-01-01,23.3,26.6
2,2000-01-02,8,11.9
3,2000-01-03,5,7.1
4,2000-01-04,9.6,15
5,2000-01-05,17.3,22.9
6,2000-01-06,19,22
7,2000-01-07,21.3,22.6
8,2000-01-08,18.7,20.5
9,2000-01-09,23.9,28.5
10,2000-01-10,21.8,35.3
11,2000-01-11,16.8,18.5
12,2000-01-12,20.7,23.4
13,2000-01-13,16.7,20.4
14,2000-01-14,17.2,19.6
15,2000-01-15,15.8,18.7
16,2000-01-16,15.6,18.3
17,2000-01-17,27.2,24.4
18,2000-01-18,14.6,17.5
19,2000-01-19,16.7,21.1
20,2000-01-20,30.4,32.2
21,2000-01-21,21.9,21.7
22,2000-01-22,9.1,13.3
23,2000-01-23,12.5,13.3
24,2000-01-24,27.9,28.7
25,2000-01-25,45.8,50
26,2000-01-26,34.1,38.9
27,2000-01-27,21.7,36.9
28,2000-01-28,16.8,21.5
29,2000-01-29,10.1,12.2
30,2000-01-30,12.8,13.9
31,2000-01-31,17.7,18.7
32,2000-02-01,20.9,23.4
33,2000-02-02,16.5,20
34,2000-02-03,16.2,22.6
35,2000-02-04,20,27.5
36,2000-02-05,26.5,31.6
37,2000-02-06,22,21.6
38,2000-02-07,21.5,25.1
39,2000-02-08,19.7,22.7
40,2000-02-09,NA,29
41,2000-02-10,NA,20.1
42,2000-02-11,NA,24.2
43,2000-02-12,12.1,13.9
44,2000-02-13,22.6,24.7
45,2000-02-14,19.3,27.4
46,2000-02-15,12,16.2
47,2000-02-16,11.8,14.8
48,2000-02-17,13.8,17.2
49,2000-02-18,16.9,22.5
50,2000-02-19,13.6,16.9
51,2000-02-20,21,23.9
52,2000-02-21,23.5,27.8
53,2000-02-22,31.5,42.3
54,2000-02-23,17.6,23.2
55,2000-02-24,11.4,21.5
56,2000-02-25,16.8,21
57,2000-02-26,16.3,25.2
58,2000-02-27,19.5,19.8
59,2000-02-28,9.5,12.3
60,2000-02-29,7.5,10.2
61,2000-03-01,12,14.7
62,2000-03-02,24.5,27.3
63,2000-03-03,28.4,29
64,2000-03-04,14.3,18.2
65,2000-03-05,14,17.5
66,2000-03-06,19.7,NA
67,2000-03-07,34.9,39.5
68,2000-03-08,14.2,18.8
69,2000-03-09,14.1,NA
70,2000-03-10,28.6,NA
71,2000-03-11,25.6,26.4
72,2000-03-12,37.8,39.4
73,2000-03-13,37.6,41.1
74,2000-03-14,24.8,24.1
75,2000-03-15,19,NA
76,2000-03-16,22.6,25.2
77,2000-03-17,28,26.7
78,2000-03-18,25.8,24.6
79,2000-03-19,26,27
80,2000-03-20,41.3,42.5
81,2000-03-21,33,46.9
82,2000-03-22,60.7,51.6
83,2000-03-23,56.2,NA
84,2000-03-24,20.6,NA
85,2000-03-25,7.7,NA
86,2000-03-26,12.2,14.7
87,2000-03-27,14.8,13.7
88,2000-03-28,15.9,NA
89,2000-03-29,23.5,NA
90,2000-03-30,32,33.1
91,2000-03-31,26.3,34.2
92,2000-04-01,16.4,24.9
93,2000-04-02,15,21.2
94,2000-04-03,14.4,15.5
95,2000-04-04,8.4,NA
96,2000-04-05,18,NA
97,2000-04-06,20.7,NA
98,2000-04-07,26.8,NA
99,2000-04-08,31.7,NA
100,2000-04-09,17,NA
101,2000-04-10,18.4,NA
102,2000-04-11,11,21.3
103,2000-04-12,7.4,13.9
104,2000-04-13,13.6,16.8
105,2000-04-14,15.8,21.2
106,2000-04-15,9.3,10.7
107,2000-04-16,14.4,21.4
108,2000-04-17,10.5,14.5
109,2000-04-18,14.8,21.7
110,2000-04-19,12.3,18
111,2000-04-20,10.8,18.3
112,2000-04-21,19,22.3
113,2000-04-22,12.6,17.5
114,2000-04-23,15.2,19.5
115,2000-04-24,12.3,17.5
116,2000-04-25,12.1,22.5
117,2000-04-26,9.3,20.3
118,2000-04-27,16.8,37
119,2000-04-28,22.5,27.2
120,2000-04-29,10.8,17.1
121,2000-04-30,14.7,20.1
122,2000-05-01,15.1,16.4
123,2000-05-02,10.5,22.1
124,2000-05-03,8,10.9
125,2000-05-04,16.9,23
126,2000-05-05,29.5,29.6
127,2000-05-06,44.7,44.4
128,2000-05-07,37.5,36.6
129,2000-05-08,39.3,41.5
130,2000-05-09,44.5,46.8
131,2000-05-10,30.5,NA
132,2000-05-11,24,NA
133,2000-05-12,32,NA
134,2000-05-13,44.6,NA
135,2000-05-14,36.1,NA
136,2000-05-15,29.8,NA
137,2000-05-16,21.3,NA
138,2000-05-17,11.2,NA
139,2000-05-18,8.4,NA
140,2000-05-19,9.6,NA
141,2000-05-20,12.9,NA
142,2000-05-21,9.1,NA
143,2000-05-22,13.5,NA
144,2000-05-23,7.8,NA
145,2000-05-24,11.8,NA
146,2000-05-25,12.4,NA
147,2000-05-26,14.8,NA
148,2000-05-27,7.8,NA
149,2000-05-28,6.3,NA
150,2000-05-29,8.7,NA
151,2000-05-30,16.6,NA
152,2000-05-31,18.8,NA
153,2000-06-01,12,NA
154,2000-06-02,14.3,NA
155,2000-06-03,19,NA
156,2000-06-04,10.2,NA
157,2000-06-05,22.7,NA
158,2000-06-06,18.3,NA
159,2000-06-07,NA,NA
160,2000-06-08,NA,NA
161,2000-06-09,25.5,NA
162,2000-06-10,12.5,NA
163,2000-06-11,14.8,NA
164,2000-06-12,15.2,NA
165,2000-06-13,11.6,NA
166,2000-06-14,11.6,NA
167,2000-06-15,16.4,NA
168,2000-06-16,30,NA
169,2000-06-17,23.8,NA
170,2000-06-18,24.1,NA
